query_id,query,intent,intent_prob_informational,intent_prob_comparison,intent_prob_transactional,intent_prob_navigational,intent_confidence,mentions_own_brand,mentions_own_product,mentions_competitor_brand,mentions_competitor_product,out_of_category,mentions_competitor,own_product_only,latency_ms,model,input_tokens,output_tokens
Q0151,Z9 nikon アルファ 比較,comparison,0.0,1.0,0.0,0.0,1.0,0.84,0.97,0.17,0.19,0.03,0.19,0.1552,220.0,jev-1.13.0,1076,150
Q0152,Sony カメラ スペック,informational,0.97,0.03,0.0,0.0,0.96,0.02,0.03,0.94,0.08,0.05,0.94,0.0294,266.5,jev-1.13.0,1073,153
Q0153,Zf ニコン Canon 違い,comparison,0.0,1.0,0.0,0.0,1.0,0.91,0.96,0.92,0.09,0.03,0.92,0.0864,240.1,jev-1.13.0,1074,150
Q0154,Z50II 価格 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.09,0.9,0.03,0.02,0.03,0.03,0.819,254.4,jev-1.13.0,1074,152
Q0155,Z fc 評判,informational,0.99,0.01,0.0,0.0,0.98,0.07,0.95,0.03,0.03,0.04,0.03,0.8835,281.4,jev-1.13.0,1069,153
Q0156,複合機 最安値,transactional,0.0,0.0,1.0,0.0,1.0,0.04,0.02,0.03,0.02,0.93,0.03,0.0192,296.0,jev-1.13.0,1071,152
Q0157,ニコン z30 口コミ どちらを選ぶべき,comparison,0.0,1.0,0.0,0.0,0.99,0.98,0.97,0.08,0.03,0.03,0.08,0.0194,223.1,jev-1.13.0,1082,150
Q0158,50mm f1.8 FE 値段 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.03,0.08,0.08,0.33,0.06,0.33,0.0776,294.0,jev-1.13.0,1079,152
Q0159,アルファ α7IV 比較 ニコン NIKKOR Z 40mm f/2,comparison,0.0,1.0,0.0,0.0,1.0,0.51,0.89,0.19,0.95,0.04,0.95,0.4361,254.4,jev-1.13.0,1090,150
Q0160,nikon Z 24-120mm f4 下取り amazon,transactional,0.0,0.0,1.0,0.0,0.99,0.44,0.95,0.04,0.03,0.04,0.04,0.532,237.2,jev-1.13.0,1081,152
Q0161,Canon EOS R6 Mark II どっちがいい ニコン Z fc,comparison,0.0,1.0,0.0,0.0,1.0,0.87,0.94,0.84,0.96,0.03,0.96,0.1222,228.4,jev-1.13.0,1082,150
Q0162,50mm f1.8 S スペック 初心者向け,informational,1.0,0.0,0.0,0.0,1.0,0.11,0.81,0.02,0.03,0.03,0.03,0.7209,221.1,jev-1.13.0,1083,153
Q0163,ニコン 24-120mm f4 S 下取り どこで 公式サイト,navigational,0.0,0.0,0.28,0.72,0.62,0.98,0.95,0.03,0.02,0.04,0.03,0.019,236.1,jev-1.13.0,1091,153
Q0164,z50ii 使い方,informational,1.0,0.0,0.0,0.0,1.0,0.05,0.88,0.02,0.03,0.03,0.03,0.836,260.2,jev-1.13.0,1071,153
Q0165,zf 購入 ログイン,transactional,0.0,0.0,0.65,0.35,0.53,0.09,0.68,0.03,0.04,0.1,0.04,0.6188,224.7,jev-1.13.0,1073,152
Q0166,Canon RF100-500mm 特徴,informational,0.98,0.02,0.0,0.0,0.98,0.02,0.07,0.8,0.9,0.04,0.9,0.0686,191.6,jev-1.13.0,1076,153
Q0167,アルファ9 III Sony キヤノン vs,comparison,0.0,1.0,0.0,0.0,1.0,0.06,0.04,0.95,0.94,0.04,0.95,0.0376,185.1,jev-1.13.0,1076,150
Q0168,NIKON 会社説明会,navigational,0.44,0.0,0.0,0.56,0.4,0.97,0.04,0.04,0.02,0.84,0.04,0.0012,221.7,jev-1.13.0,1072,153
Q0169,Z6 3 セール 店舗,transactional,0.0,0.0,0.98,0.02,0.98,0.09,0.93,0.03,0.03,0.04,0.03,0.8463,204.3,jev-1.13.0,1075,152
Q0170,nikon スマートフォン,informational,0.74,0.01,0.07,0.18,0.65,0.85,0.05,0.05,0.03,0.7,0.05,0.0075,200.9,jev-1.13.0,1073,153
Q0171,アルファ カスタマーサポート,navigational,0.0,0.0,0.0,1.0,1.0,0.02,0.05,0.15,0.59,0.14,0.59,0.049,256.9,jev-1.13.0,1077,153
Q0172,Z6 III ダウンロード,navigational,0.16,0.0,0.17,0.67,0.56,0.07,0.94,0.02,0.03,0.07,0.03,0.8742,287.1,jev-1.13.0,1073,153
Q0173,nikon z50ii 登録,navigational,0.13,0.0,0.26,0.61,0.48,0.35,0.9,0.04,0.02,0.06,0.04,0.585,204.2,jev-1.13.0,1073,153
Q0174,NIKON Z8 下取り,transactional,0.0,0.0,1.0,0.0,0.99,0.95,0.96,0.04,0.03,0.04,0.04,0.048,255.9,jev-1.13.0,1072,152
Q0175,SONY a6700 と キヤノン RF50mm F1.8 STM 違い,comparison,0.0,1.0,0.0,0.0,1.0,0.04,0.06,0.94,0.97,0.03,0.97,0.0576,266.9,jev-1.13.0,1089,150
Q0176,ZV-E10II 取扱説明書 スペック,informational,0.97,0.0,0.0,0.03,0.96,0.1,0.91,0.03,0.02,0.03,0.03,0.819,227.8,jev-1.13.0,1080,153
Q0177,Z 9 口コミ 初心者向け,informational,0.97,0.03,0.0,0.0,0.96,0.08,0.95,0.03,0.03,0.04,0.03,0.874,221.4,jev-1.13.0,1077,153
Q0178,NIKON NIKKOR Z 24-120 F4 S 比較 おすすめ 公式サイト,comparison,0.0,0.96,0.0,0.04,0.94,0.95,0.94,0.05,0.03,0.03,0.05,0.047,257.6,jev-1.13.0,1096,150
Q0179,ニコン Z 50mm f1.8 取扱説明書,informational,0.87,0.0,0.01,0.12,0.83,0.98,0.94,0.02,0.02,0.03,0.02,0.0188,184.4,jev-1.13.0,1081,153
Q0180,sony a6700 登録,navigational,0.21,0.01,0.29,0.49,0.33,0.03,0.04,0.93,0.96,0.05,0.96,0.0388,190.8,jev-1.13.0,1073,153
Q0181,NIKON カスタマーサポート,navigational,0.0,0.0,0.0,1.0,1.0,0.97,0.03,0.03,0.02,0.05,0.03,0.0009,251.6,jev-1.13.0,1076,153
Q0182,SONY アルファ1 II 購入 amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.02,0.04,0.92,0.95,0.03,0.95,0.0392,227.0,jev-1.13.0,1077,152
Q0183,アルファ カメラ 画質,informational,0.74,0.25,0.0,0.01,0.65,0.03,0.04,0.12,0.48,0.06,0.48,0.0388,227.5,jev-1.13.0,1074,153
Q0184,Z5 2 最安値 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.06,0.87,0.03,0.04,0.04,0.04,0.8178,238.9,jev-1.13.0,1075,152
Q0185,NIKKOR Z 24-120mm f/4 S 口コミ まとめ,informational,0.99,0.01,0.0,0.0,0.99,0.14,0.96,0.04,0.03,0.03,0.04,0.8256,327.2,jev-1.13.0,1088,153
Q0186,NIKKOR Z 50mm F1.8 セール 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.2,0.95,0.04,0.03,0.03,0.04,0.76,188.5,jev-1.13.0,1084,152
Q0187,ソニー アルファ1 II 評判 どこで キャンペーン,transactional,0.16,0.04,0.79,0.01,0.72,0.03,0.04,0.96,0.95,0.04,0.96,0.0388,227.9,jev-1.13.0,1088,152
Q0188,Canon R8 登録,navigational,0.19,0.01,0.29,0.51,0.35,0.02,0.06,0.86,0.95,0.06,0.95,0.0588,209.2,jev-1.13.0,1070,153
Q0189,NIKKOR Z 24-120mm f/4 S 登録,navigational,0.25,0.0,0.26,0.49,0.32,0.28,0.95,0.03,0.03,0.05,0.03,0.684,256.0,jev-1.13.0,1084,153
Q0190,Canon キヤノンR1 比較 おすすめ nikon z8,comparison,0.0,1.0,0.0,0.0,1.0,0.71,0.91,0.95,0.95,0.03,0.95,0.2639,272.6,jev-1.13.0,1084,150
Q0191,z5ii 画質 初心者向け,informational,0.99,0.01,0.0,0.0,0.98,0.1,0.9,0.02,0.03,0.04,0.03,0.81,269.9,jev-1.13.0,1076,153
Q0192,24-70 GMII レビュー,informational,0.99,0.01,0.0,0.0,0.99,0.03,0.1,0.15,0.66,0.1,0.66,0.097,361.6,jev-1.13.0,1075,153
Q0193,ソニー a9 III キャンペーン amazon,transactional,0.0,0.0,0.99,0.01,0.98,0.03,0.04,0.97,0.96,0.05,0.97,0.0388,230.1,jev-1.13.0,1077,152
Q0194,z8 サポート ダウンロード,navigational,0.27,0.0,0.12,0.61,0.49,0.08,0.93,0.03,0.03,0.04,0.03,0.8556,236.0,jev-1.13.0,1077,153
Q0195,Z50II レビュー,informational,1.0,0.0,0.0,0.0,0.99,0.05,0.92,0.03,0.02,0.04,0.03,0.874,555.3,jev-1.13.0,1072,153
Q0196,z30 通販 ログイン,navigational,0.0,0.0,0.21,0.79,0.71,0.11,0.92,0.02,0.04,0.07,0.04,0.8188,314.7,jev-1.13.0,1074,153
Q0197,nikon Z50 II 最安値 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.26,0.83,0.04,0.02,0.03,0.04,0.6142,503.0,jev-1.13.0,1076,152
Q0198,RF50 1.8 STM 画質 ログイン,navigational,0.38,0.01,0.01,0.6,0.46,0.04,0.07,0.09,0.78,0.12,0.78,0.0672,280.4,jev-1.13.0,1079,153
Q0199,zfc 通販 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.09,0.91,0.03,0.02,0.04,0.03,0.8281,233.5,jev-1.13.0,1071,152
Q0200,Z5II 通販 修理,transactional,0.0,0.0,0.98,0.02,0.97,0.1,0.89,0.03,0.03,0.05,0.03,0.801,252.1,jev-1.13.0,1072,152
Q0201,a9 III アルファ canon 比較 おすすめ,comparison,0.0,1.0,0.0,0.0,1.0,0.05,0.15,0.92,0.72,0.06,0.92,0.1425,302.2,jev-1.13.0,1081,150
Q0202,NIKKOR Z 50mm f/1.8 S 価格 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.21,0.94,0.03,0.02,0.03,0.03,0.7426,309.3,jev-1.13.0,1085,152
Q0203,nikon canon どちらを選ぶべき,comparison,0.0,1.0,0.0,0.0,1.0,0.73,0.04,0.86,0.12,0.03,0.86,0.0108,355.3,jev-1.13.0,1075,150
Q0204,FE 24-70 GM2 アルファ CANON 比較 おすすめ,comparison,0.0,1.0,0.0,0.0,1.0,0.06,0.12,0.81,0.77,0.03,0.81,0.1128,222.0,jev-1.13.0,1088,150
Q0205,24-70mm f2.8 GM II 価格 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.04,0.07,0.07,0.63,0.06,0.63,0.0672,224.2,jev-1.13.0,1082,152
Q0206,Nikon NIKKOR 180-600 セール スペック,transactional,0.13,0.0,0.87,0.0,0.82,0.77,0.93,0.03,0.02,0.03,0.03,0.2139,319.4,jev-1.13.0,1086,152
Q0207,z5ii 登録,navigational,0.23,0.0,0.26,0.51,0.34,0.08,0.86,0.02,0.03,0.07,0.03,0.7912,279.1,jev-1.13.0,1070,153
Q0208,Z6III 公式ストア,navigational,0.0,0.0,0.03,0.97,0.96,0.14,0.95,0.02,0.02,0.04,0.02,0.817,316.7,jev-1.13.0,1072,153
Q0209,z9 購入 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.06,0.94,0.03,0.02,0.03,0.03,0.8836,226.2,jev-1.13.0,1072,152
Q0210,Z5II 値段 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.09,0.91,0.03,0.02,0.04,0.03,0.8281,201.2,jev-1.13.0,1074,152
Q0211,ニコン カスタマーサポート,navigational,0.0,0.0,0.0,1.0,1.0,0.98,0.02,0.02,0.02,0.05,0.02,0.0004,270.9,jev-1.13.0,1076,153
Q0212,ニコン zf 評判,informational,1.0,0.0,0.0,0.0,0.99,0.98,0.96,0.03,0.02,0.04,0.03,0.0192,246.4,jev-1.13.0,1072,153
Q0213,nikon ニコンZ8 と ソニー α7 IV 比較 おすすめ,comparison,0.0,1.0,0.0,0.0,1.0,0.97,0.97,0.56,0.9,0.03,0.9,0.0291,283.2,jev-1.13.0,1088,150
Q0214,Nikon 採用,informational,0.66,0.08,0.02,0.24,0.55,0.93,0.04,0.05,0.03,0.91,0.05,0.0028,291.4,jev-1.13.0,1069,153
Q0215,ニコン ニコンZ9 と キヤノン EOS R5 Mark II どちらを選ぶべき,comparison,0.0,1.0,0.0,0.0,1.0,0.97,0.97,0.94,0.95,0.03,0.95,0.0291,272.0,jev-1.13.0,1092,150
Q0216,canon 24-105mm f4 L 登録,navigational,0.33,0.01,0.26,0.4,0.2,0.02,0.06,0.94,0.87,0.05,0.94,0.0588,280.2,jev-1.13.0,1079,153
Q0217,nikon ニコンZ8 購入 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.98,0.95,0.04,0.02,0.03,0.04,0.019,259.7,jev-1.13.0,1078,152
Q0218,Z5 2 vs サポート,navigational,0.12,0.43,0.0,0.45,0.27,0.08,0.9,0.03,0.04,0.05,0.04,0.828,352.0,jev-1.13.0,1073,153
Q0219,NIKON CANON z5ii vs,comparison,0.0,1.0,0.0,0.0,1.0,0.96,0.71,0.9,0.44,0.04,0.9,0.0284,201.2,jev-1.13.0,1072,150
Q0220,sony カメラ 初心者,informational,0.76,0.15,0.08,0.01,0.69,0.02,0.03,0.94,0.09,0.04,0.94,0.0294,221.9,jev-1.13.0,1073,153
Q0221,ニコン Zf 中古 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.98,0.96,0.02,0.02,0.03,0.02,0.0192,255.8,jev-1.13.0,1074,152
Q0222,nikon Z6 III とは どこで セール,transactional,0.01,0.0,0.99,0.0,0.98,0.44,0.92,0.03,0.02,0.04,0.03,0.5152,198.2,jev-1.13.0,1079,152
Q0223,eos r10 vs 下取り,comparison,0.02,0.7,0.28,0.0,0.6,0.04,0.06,0.2,0.87,0.1,0.87,0.0576,233.1,jev-1.13.0,1073,150
Q0224,50mm f1.8 S キャンペーン 楽天,transactional,0.0,0.0,1.0,0.0,0.99,0.11,0.88,0.03,0.03,0.04,0.03,0.7832,278.8,jev-1.13.0,1082,152
Q0225,CANON Sony どちらを選ぶべき,comparison,0.0,1.0,0.0,0.0,1.0,0.03,0.02,0.9,0.08,0.04,0.9,0.0194,243.3,jev-1.13.0,1075,150
Q0226,Z 30 スペック まとめ,informational,1.0,0.0,0.0,0.0,1.0,0.07,0.93,0.03,0.02,0.04,0.03,0.8649,239.6,jev-1.13.0,1076,153
Q0227,α α7C II と ニコン NIKKOR Z 40mm f/2 vs,comparison,0.0,1.0,0.0,0.0,1.0,0.89,0.87,0.14,0.89,0.03,0.89,0.0957,205.3,jev-1.13.0,1086,150
Q0228,FE50mm 1.8 初心者,informational,0.7,0.18,0.12,0.0,0.6,0.03,0.06,0.07,0.7,0.06,0.7,0.0582,289.7,jev-1.13.0,1076,153
Q0229,ニコン Z9 下取り 予約,transactional,0.0,0.0,0.98,0.02,0.97,0.98,0.97,0.02,0.02,0.05,0.02,0.0194,264.2,jev-1.13.0,1075,152
Q0230,nikon z50ii 値段,transactional,0.0,0.0,1.0,0.0,1.0,0.4,0.89,0.03,0.02,0.04,0.03,0.534,320.1,jev-1.13.0,1073,152
Q0231,キヤノン カメラ 口コミ,informational,0.8,0.2,0.0,0.0,0.73,0.02,0.03,0.94,0.06,0.04,0.94,0.0294,333.3,jev-1.13.0,1075,153
Q0232,NIKKOR Z 50mm F1.8 キャンペーン 楽天,transactional,0.0,0.0,0.99,0.01,0.99,0.33,0.95,0.03,0.03,0.04,0.03,0.6365,278.0,jev-1.13.0,1087,152
Q0233,ニコンZf 在庫 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.98,0.97,0.02,0.02,0.04,0.02,0.0194,196.2,jev-1.13.0,1075,152
Q0234,Zfc 登録,informational,0.41,0.0,0.26,0.33,0.21,0.15,0.94,0.02,0.03,0.09,0.03,0.799,209.1,jev-1.13.0,1069,153
Q0235,ニコン Z f 最安値,transactional,0.0,0.0,1.0,0.0,1.0,0.98,0.97,0.03,0.02,0.03,0.03,0.0194,186.8,jev-1.13.0,1072,152
Q0236,Z5 2 作例 初心者向け,informational,1.0,0.0,0.0,0.0,0.99,0.08,0.88,0.02,0.03,0.04,0.03,0.8096,307.1,jev-1.13.0,1077,153
Q0237,24-70 GMII 設定方法 初心者向け,informational,1.0,0.0,0.0,0.0,1.0,0.03,0.1,0.07,0.74,0.06,0.74,0.097,249.1,jev-1.13.0,1083,153
Q0238,z50ii 通販 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.07,0.88,0.03,0.02,0.04,0.03,0.8184,199.1,jev-1.13.0,1074,152
Q0239,canon アルファ 違い,comparison,0.0,1.0,0.0,0.0,1.0,0.04,0.06,0.88,0.38,0.07,0.88,0.0576,259.9,jev-1.13.0,1073,150
Q0240,Z 8 初心者 まとめ,informational,1.0,0.0,0.0,0.0,1.0,0.07,0.94,0.03,0.03,0.04,0.03,0.8742,232.1,jev-1.13.0,1075,153
Q0241,Z5 II ダウンロード 比較 おすすめ,comparison,0.01,0.98,0.0,0.01,0.98,0.08,0.85,0.05,0.04,0.05,0.05,0.782,289.6,jev-1.13.0,1082,150
Q0242,nikon z30 修理 どこで 口コミ,transactional,0.31,0.0,0.49,0.2,0.31,0.36,0.96,0.03,0.02,0.04,0.03,0.6144,257.2,jev-1.13.0,1079,152
Q0243,ソニー FE50mm 1.8 画質,informational,0.97,0.03,0.0,0.0,0.95,0.03,0.04,0.95,0.94,0.04,0.95,0.0388,236.9,jev-1.13.0,1077,153
Q0244,zfc 初心者 まとめ,informational,1.0,0.0,0.0,0.0,0.99,0.07,0.93,0.03,0.03,0.04,0.03,0.8649,266.3,jev-1.13.0,1074,153
Q0245,a7iv レビュー 取扱説明書,informational,0.99,0.0,0.0,0.01,0.98,0.04,0.06,0.17,0.9,0.06,0.9,0.0576,281.2,jev-1.13.0,1077,153
Q0246,ニコン Z50 II 価格 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.98,0.94,0.03,0.02,0.03,0.03,0.0188,235.9,jev-1.13.0,1076,152
Q0247,VLOGCAM E10 II SONY CANON 比較,comparison,0.0,1.0,0.0,0.0,1.0,0.04,0.06,0.96,0.52,0.05,0.96,0.0576,263.8,jev-1.13.0,1078,150
Q0248,NIKKOR Z 50mm F1.8 Nikon SONY 違い,comparison,0.0,1.0,0.0,0.0,1.0,0.94,0.93,0.89,0.15,0.03,0.89,0.0558,229.7,jev-1.13.0,1083,150
Q0249,Nikon Z6 III 登録,navigational,0.11,0.0,0.3,0.59,0.45,0.76,0.95,0.04,0.02,0.06,0.04,0.228,288.7,jev-1.13.0,1072,153
Q0250,z9 画質 初心者向け,informational,0.99,0.01,0.0,0.0,0.99,0.09,0.95,0.03,0.03,0.04,0.03,0.8645,367.2,jev-1.13.0,1075,153
Q0251,NIKON z9 購入 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.93,0.92,0.03,0.02,0.03,0.03,0.0644,296.2,jev-1.13.0,1075,152
Q0252,NIKON 40mm f2 単焦点 登録,navigational,0.35,0.0,0.28,0.37,0.16,0.97,0.82,0.04,0.03,0.06,0.04,0.0246,263.9,jev-1.13.0,1081,153
Q0253,Z fc とは まとめ,informational,1.0,0.0,0.0,0.0,1.0,0.07,0.94,0.03,0.03,0.04,0.03,0.8742,274.2,jev-1.13.0,1072,153
Q0254,Z 40mm f2 キャンペーン 楽天,transactional,0.0,0.0,0.99,0.01,0.99,0.09,0.93,0.03,0.03,0.04,0.03,0.8463,245.4,jev-1.13.0,1081,152
Q0255,FE 24-70mm F2.8 GM II Sony Canon 比較 おすすめ,comparison,0.0,1.0,0.0,0.0,1.0,0.11,0.05,0.94,0.76,0.04,0.94,0.0445,199.2,jev-1.13.0,1088,150
Q0256,Nikon Z 180-600mm とは 比較,comparison,0.13,0.87,0.0,0.0,0.83,0.5,0.88,0.05,0.03,0.04,0.05,0.44,313.2,jev-1.13.0,1082,150
Q0257,Nikon SONY Z 8 比較,comparison,0.0,1.0,0.0,0.0,1.0,0.9,0.33,0.93,0.85,0.04,0.93,0.033,284.2,jev-1.13.0,1074,150
Q0258,a6700 在庫 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.04,0.09,0.04,0.24,0.06,0.24,0.0864,219.0,jev-1.13.0,1076,152
Q0259,Z 50mm f1.8 ダウンロード,navigational,0.37,0.0,0.18,0.45,0.26,0.07,0.89,0.02,0.03,0.05,0.03,0.8277,236.0,jev-1.13.0,1079,153
Q0260,NIKON Z5 II 最安値 amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.96,0.86,0.05,0.02,0.03,0.05,0.0344,208.7,jev-1.13.0,1074,152
Q0261,アルファ アルファ1 II 特徴,informational,1.0,0.0,0.0,0.0,0.99,0.02,0.07,0.13,0.83,0.06,0.83,0.0686,307.2,jev-1.13.0,1077,153
Q0262,z6iii 画質 初心者向け,informational,0.99,0.01,0.0,0.0,0.98,0.08,0.92,0.02,0.03,0.03,0.03,0.8464,297.6,jev-1.13.0,1076,153
Q0263,nikon Canon NIKKOR Z 50mm f/1.8 S 口コミ,comparison,0.47,0.52,0.01,0.0,0.37,0.42,0.93,0.92,0.19,0.04,0.92,0.5394,205.2,jev-1.13.0,1085,150
Q0264,ニコン Z5 II 使い方 サポート,informational,0.9,0.0,0.0,0.1,0.87,0.98,0.96,0.02,0.02,0.03,0.02,0.0192,294.1,jev-1.13.0,1078,153
Q0265,ソニー FE 50mm F1.8 と NIKON ニコンZ8 vs,comparison,0.0,1.0,0.0,0.0,1.0,0.95,0.94,0.96,0.95,0.04,0.96,0.047,393.4,jev-1.13.0,1086,150
Q0266,Z8 作例,informational,1.0,0.0,0.0,0.0,0.99,0.05,0.95,0.03,0.03,0.04,0.03,0.9025,226.7,jev-1.13.0,1068,153
Q0267,ニコン zfc 口コミ,informational,0.96,0.03,0.01,0.0,0.96,0.98,0.91,0.03,0.02,0.04,0.03,0.0182,330.6,jev-1.13.0,1072,153
Q0268,eos r10 canon α 性能比較,comparison,0.0,1.0,0.0,0.0,1.0,0.04,0.05,0.78,0.93,0.04,0.93,0.048,210.3,jev-1.13.0,1076,150
Q0269,40mm f2 単焦点 登録,informational,0.41,0.01,0.31,0.27,0.22,0.1,0.13,0.03,0.03,0.06,0.03,0.117,286.0,jev-1.13.0,1077,153
Q0270,Z5II 下取り 予約,transactional,0.0,0.0,0.99,0.01,0.98,0.07,0.91,0.02,0.02,0.04,0.02,0.8463,292.9,jev-1.13.0,1073,152
Q0271,NIKON Z9 登録,navigational,0.13,0.0,0.21,0.66,0.54,0.96,0.95,0.03,0.02,0.06,0.03,0.038,212.7,jev-1.13.0,1072,153
Q0272,zf 価格 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.07,0.64,0.03,0.04,0.07,0.04,0.5952,226.8,jev-1.13.0,1071,152
Q0273,z50ii 在庫 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.06,0.82,0.03,0.03,0.04,0.03,0.7708,226.2,jev-1.13.0,1075,152
Q0274,Z50 II 通販 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.11,0.92,0.03,0.02,0.03,0.03,0.8188,252.8,jev-1.13.0,1074,152
Q0275,nikon Canon zf vs,comparison,0.0,1.0,0.0,0.0,1.0,0.6,0.2,0.86,0.53,0.05,0.86,0.08,630.2,jev-1.13.0,1069,150
Q0276,ニコンZf とは 初心者向け,informational,1.0,0.0,0.0,0.0,1.0,0.98,0.96,0.03,0.02,0.04,0.03,0.0192,265.9,jev-1.13.0,1078,153
Q0277,Z50 2 価格 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.07,0.92,0.03,0.03,0.04,0.03,0.8556,336.0,jev-1.13.0,1075,152
Q0278,NIKKOR Z 50mm f/1.8 S 登録,navigational,0.29,0.0,0.24,0.47,0.3,0.23,0.96,0.03,0.03,0.05,0.03,0.7392,256.8,jev-1.13.0,1082,153
Q0279,FE 200-600 G α ニコン 違い,comparison,0.0,1.0,0.0,0.0,1.0,0.96,0.08,0.18,0.88,0.06,0.88,0.0032,275.1,jev-1.13.0,1082,150
Q0280,ソニー ZV-E10 II 作例,informational,0.98,0.02,0.0,0.0,0.97,0.02,0.03,0.95,0.96,0.05,0.96,0.0294,247.2,jev-1.13.0,1075,153
Q0281,α7RV 下取り 楽天,transactional,0.0,0.0,0.99,0.01,0.99,0.04,0.11,0.29,0.8,0.05,0.8,0.1056,218.2,jev-1.13.0,1074,152
Q0282,CANON RF100-500mm 登録,navigational,0.29,0.01,0.32,0.38,0.16,0.03,0.05,0.86,0.95,0.06,0.95,0.0485,224.5,jev-1.13.0,1078,153
Q0283,ソニー カメラ スペック,informational,0.95,0.05,0.0,0.0,0.93,0.02,0.03,0.97,0.08,0.05,0.97,0.0294,226.8,jev-1.13.0,1075,153
Q0284,ソニー a7RV セール どこで とは,transactional,0.05,0.0,0.95,0.0,0.93,0.03,0.04,0.96,0.94,0.04,0.96,0.0388,380.8,jev-1.13.0,1080,152
Q0285,α カスタマーサポート,navigational,0.0,0.0,0.0,1.0,1.0,0.03,0.05,0.16,0.53,0.1,0.53,0.0485,225.5,jev-1.13.0,1074,153
Q0286,Sony FE 50mm F1.8 と nikon Z9 違い,comparison,0.0,1.0,0.0,0.0,1.0,0.49,0.82,0.87,0.95,0.04,0.95,0.4182,277.1,jev-1.13.0,1082,150
Q0287,Z f キャンペーン 楽天,transactional,0.01,0.0,0.95,0.04,0.94,0.12,0.94,0.03,0.03,0.07,0.03,0.8272,218.7,jev-1.13.0,1076,152
Q0288,NIKKOR Z 180-600mm サポート ダウンロード,navigational,0.27,0.0,0.09,0.64,0.51,0.21,0.95,0.03,0.02,0.03,0.03,0.7505,225.2,jev-1.13.0,1089,153
Q0289,NIKKOR Z 24-120mm f/4 S 初心者,informational,0.96,0.02,0.02,0.0,0.95,0.14,0.96,0.04,0.02,0.03,0.04,0.8256,245.0,jev-1.13.0,1085,153
Q0290,nikon NIKKOR Z 40mm f/2 特徴,informational,1.0,0.0,0.0,0.0,1.0,0.55,0.95,0.03,0.02,0.03,0.03,0.4275,293.4,jev-1.13.0,1080,153
Q0291,キヤノン Nikon r6 mark2 口コミ,comparison,0.42,0.58,0.0,0.0,0.44,0.96,0.8,0.95,0.67,0.04,0.95,0.032,240.1,jev-1.13.0,1076,150
Q0292,50mm f1.8 S Nikon sony どちらを選ぶべき,comparison,0.0,1.0,0.0,0.0,1.0,0.94,0.46,0.92,0.23,0.03,0.92,0.0276,317.6,jev-1.13.0,1082,150
Q0293,CANON r6 mark2 通販 amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.02,0.03,0.9,0.95,0.04,0.95,0.0294,244.9,jev-1.13.0,1073,152
Q0294,NIKON z50ii 在庫 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.86,0.84,0.04,0.02,0.04,0.04,0.1176,249.1,jev-1.13.0,1077,152
Q0295,Canon R1 レビュー,informational,0.99,0.01,0.0,0.0,0.98,0.02,0.04,0.85,0.92,0.05,0.92,0.0392,215.4,jev-1.13.0,1071,153
Q0296,Zfc 画質 初心者向け,informational,0.98,0.02,0.0,0.0,0.98,0.1,0.94,0.03,0.03,0.04,0.03,0.846,260.7,jev-1.13.0,1075,153
Q0297,α 50mm f1.8 FE とは,informational,1.0,0.0,0.0,0.0,1.0,0.02,0.05,0.14,0.84,0.06,0.84,0.049,263.7,jev-1.13.0,1076,153
Q0298,ニコン NIKKOR Z 24-120 F4 S 中古,transactional,0.0,0.0,1.0,0.0,1.0,0.96,0.97,0.03,0.02,0.03,0.03,0.0388,283.5,jev-1.13.0,1084,152
Q0299,ニコン NIKKOR 180-600 セール amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.96,0.94,0.03,0.02,0.03,0.03,0.0376,214.4,jev-1.13.0,1083,152
Q0300,Canon EOS R1 特徴,informational,0.99,0.01,0.0,0.0,0.99,0.02,0.08,0.85,0.91,0.04,0.91,0.0784,207.3,jev-1.13.0,1070,153
